"統計名：","在留外国人統計（旧登録外国人統計） 在留外国人統計"
"表番号：","01"
"表題：","国籍・地域別　在留資格別　在留外国人"
"実施年月：","-","-"

"***","数字が得られないもの"
"-","数字が得られないもの"

"","","","","","","","","","/在留資格 コード","1010","1040","1050","1060","1070","1080","1090","1100","1110","1120","1130","1140","1150","1160","1170","1180","1190","1200","1210","1220","1230","1240","1250","1260","1270","1280","1290","1300","1310","1320","1330","1340","1350","1360","1380","1400","1410","1420","1430","1440","1450","1460","1470"
"","","","","","","","","","/在留資格 補助コード","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"表章項目 コード","表章項目 補助コード","表章項目","集計時点（半期毎） コード","集計時点（半期毎） 補助コード","集計時点（半期毎）","国籍・地域 コード","国籍・地域 補助コード","国籍・地域","/在留資格","総数","教授","芸術","宗教","報道","高度専門職合計","高度専門職１号イ","高度専門職１号ロ","高度専門職１号ハ","高度専門職２号","投資・経営","経営・管理","法律・会計業務","医療","研究","教育","技術","人文知識・国際業務","技術・人文知識・国際業務","企業内転勤","介護","興行","技能","特定技能合計","特定技能１号","特定技能２号","技能実習合計","技能実習１号イ","技能実習１号ロ","技能実習２号イ","技能実習２号ロ","技能実習３号イ","技能実習３号ロ","文化活動","留学","研修","家族滞在","特定活動","永住者","日本人の配偶者等","永住者の配偶者等","定住者","特別永住者"
"01","","人数【人】","2025000606","","2025年6月","1160","","クウェート","","39","0","0","0","0","0","0","0","0","0","***","1","0","0","0","0","***","***","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","9","0","0","11","0","0","0"
"01","","人数【人】","2025000606","","2025年6月","1170","","サウジアラビア","","411","6","0","0","0","5","1","3","1","0","***","10","0","0","0","0","***","***","58","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","75","0","42","168","19","24","0","1","0"
"01","","人数【人】","2025000606","","2025年6月","1180","","シリア","","1659","14","0","0","0","18","10","7","0","1","***","17","0","0","1","1","***","***","119","3","0","0","7","0","0","0","0","0","0","0","0","0","0","1","101","0","215","440","84","37","22","579","0"
"01","","人数【人】","2025000606","","2025年6月","1190","","シンガポール","","3977","17","1","72","1","127","6","106","13","2","***","90","0","0","0","83","***","***","758","109","0","7","6","3","3","0","0","0","0","0","0","0","0","11","546","1","299","58","1289","423","21","48","7"
"01","","人数【人】","2025000606","","2025年6月","1200","","スリランカ","","73067","48","0","79","0","66","18","44","1","3","***","2548","1","0","8","31","***","***","18765","2013","252","4","495","3006","2990","16","2699","21","1053","9","1528","0","88","10","18717","13","13444","3682","4323","1421","569","873","0"
"01","","人数【人】","2025000606","","2025年6月","1210","","タイ","","66624","141","4","186","0","170","55","106","2","7","***","177","1","7","36","4","***","***","3535","1262","132","46","1346","6232","6212","20","11807","432","3072","168","7037","36","1062","70","3872","116","893","1557","22086","7655","789","4488","12"
"01","","人数【人】","2025000606","","2025年6月","1220","","台湾","","71125","221","24","106","7","1385","97","1156","117","15","***","1339","0","196","55","53","***","***","16494","959","62","47","68","306","285","21","18","18","0","0","0","0","0","94","8521","9","3331","3896","25959","4719","511","1741","1004"
"01","","人数【人】","2025000606","","2025年6月","1230","","中国","","900738","1953","242","164","34","21369","1305","15246","3307","1511","***","23747","51","1691","260","103","***","***","114124","5788","1253","99","14427","20204","19901","303","23076","224","7400","94","12008","9","3341","1048","140164","41","87431","12406","350722","26652","21236","31828","625"
"01","","人数【人】","2025000606","","2025年6月","1240","","うち中国〔香港〕","","14018","28","12","73","1","531","20","310","196","5","***","923","1","6","4","15","***","***","3271","85","10","8","37","80","75","5","0","0","0","0","0","0","0","11","2859","0","1684","622","2465","981","103","202","6"
"01","","人数【人】","2025000606","","2025年6月","1250","","うち中国〔その他〕","","743","2","0","3","0","31","2","19","10","0","***","54","1","2","0","2","***","***","198","3","1","0","1","0","0","0","1","0","1","0","0","0","0","2","209","0","60","20","97","36","7","13","0"
